name,id,gender,uid,department
Julie Anne Robinson,5296,1,114597,Directing
Seth Rogen,5297,0,19274,Directing
Sngmoo Lee,5298,0,141169,Directing
Jamel Debbouze,5299,0,2408,Directing
Gordon Chan,5300,0,64901,Directing
Asger Leth,5301,0,72344,Directing
John G. Avildsen,5302,0,16513,Directing
Anne Fletcher,5303,1,29214,Directing
Bruce Beresford,5304,0,5696,Directing
Sam Taylor-Johnson,5305,1,1137903,Directing
Ken Kwapis,5306,0,29009,Directing
Wes Craven,5307,0,5140,Directing
Etan Cohen,5308,0,52803,Directing
Nick Cassavetes,5309,0,11151,Directing
Nicholas Stoller,5310,0,52934,Directing
Mark A.Z. Dippé,5311,0,87130,Directing
Callan Brunker,5312,0,1098477,Directing
Nimród Antal,5313,0,41671,Directing
Alejandro Agresti,5314,0,21031,Directing
Peter Hedges,5315,0,3290,Directing
Paul Weiland,5316,0,66548,Directing
Colin Strause,5317,0,6037,Directing
Joan Chen,5318,1,6720,Directing
Greg Mottola,5319,0,54733,Directing
Jake Kasdan,5320,0,51851,Directing
Diane Keaton,5321,1,3092,Directing
Kelly Makin,5322,0,64030,Directing
Stephen Daldry,5323,0,468,Directing
Christian Duguay,5324,0,25735,Directing
Justin Chadwick,5325,0,71570,Directing
Pat O'Connor,5326,0,19969,Directing
Frederik Du Chau,5327,0,50582,Directing
Irwin Winkler,5328,0,11472,Directing
Joseph Kahn,5329,0,66823,Directing
Sofia Coppola,5330,1,1769,Directing
Stephen T. Kay,5331,0,56435,Directing
Juan Antonio Bayona,5332,0,51894,Directing
Elaine May,5333,1,58251,Directing
Dennie Gordon,5334,1,66960,Directing
Charles Shyer,5335,0,56106,Directing
Ulu Grosbard,5336,0,140354,Directing
William Malone,5337,0,57898,Directing
Malcolm D. Lee,5338,0,72024,Directing
Jerry Jameson,5339,0,52094,Directing
Mic Rodgers,5340,0,18889,Directing
Christian Alvart,5341,0,54559,Directing
Jean-Marie Poiré,5342,0,64909,Directing
Marc F. Adler,5343,0,86295,Directing
Geoffrey Sax,5344,0,61357,Directing
Richard Shepard,5345,0,44740,Directing
Peter Chan,5346,0,56739,Directing
Sergei Bodrov Jr.,5347,0,71871,Directing
Bong Joon-ho,5348,0,21684,Directing
Bibo Bergeron,5349,0,65629,Directing
Jeff Nathanson,5350,0,2689,Directing
S.S. Rajamouli,5351,0,147021,Directing
Charles S. Dutton,5352,0,17764,Directing
Jonathan Lynn,5353,0,21217,Directing
David Carson,5354,0,2380,Directing
Wong Kar-wai,5355,0,12453,Directing
Yuefeng Song,5356,0,1496406,Directing
Norman Jewison,5357,0,13563,Directing
David Mirkin,5358,0,58178,Directing
Luis Mandoki,5359,0,46085,Directing
Lee Daniels,5360,0,20019,Directing
Jeb Stuart,5361,0,7671,Directing
Steve Miner,5362,0,58712,Directing
Paul Thomas Anderson,5363,0,4762,Directing
David Leland,5364,0,33317,Directing
J Blakeson,5365,0,111588,Directing
Ryan Coogler,5366,0,1056121,Directing
Kirk Jones,5367,0,64045,Directing
Jennifer Flackett,5368,1,66218,Directing
Kevin Smith,5369,0,19303,Directing
Christian Ditter,5370,0,63820,Directing
Charles Martin Smith,5371,0,1270,Directing
Fyodor Bondarchuk,5372,0,80999,Directing
Irvin Kershner,5373,0,10930,Directing
Steve Pink,5374,0,3227,Directing
Scott Hicks,5375,0,33433,Directing
Kirk De Micco,5376,0,71267,Directing
Chris Rock,5377,0,2632,Directing
Wilson Yip,5378,0,63571,Directing
Robert Wise,5379,0,1744,Directing
Kevin Rodney Sullivan,5380,0,70777,Directing
Kevin Munroe,5381,0,19499,Directing
Mike Tollin,5382,0,53178,Directing
Patrick Tatopoulos,5383,0,3964,Directing
Gary David Goldberg,5384,0,70738,Directing
Tobe Hooper,5385,0,10051,Directing
Alan Poul,5386,0,113225,Directing
Luke Greenfield,5387,0,65734,Directing
Gil Junger,5388,0,40243,Directing
Michael Ritchie,5389,0,12964,Directing
Steven E. de Souza,5390,0,1726,Directing
Alexandre Aja,5391,0,59291,Directing
Michael Rymer,5392,0,28741,Directing
Hugh Wilson,5393,0,28904,Directing
Mike Hodges,5394,0,17281,Directing
Scott Mann,5395,0,90812,Directing
Susanna White,5396,0,113600,Directing
Chris Carter,5397,0,12524,Directing
Tommy O'Haver,5398,0,62514,Directing
Peter Landesman,5399,0,1192754,Directing
Gary Chapman,5400,0,80691,Directing
Craig Mazin,5401,0,35796,Directing
Allen Hughes,5402,0,11448,Directing
Kimble Rendall,5403,0,64163,Directing
Peter Yates,5404,0,12804,Directing
Lasse Hallström,5405,0,5306,Directing
Jean-Marc Vallée,5406,0,69371,Directing
Tsui Hark,5407,0,26760,Directing
Lexi Alexander,5408,0,56359,Directing
Ronny Yu,5409,0,17268,Directing
Bille August,5410,0,19684,Directing
Moustapha Akkad,5411,0,66203,Directing
Jean-Paul Rappeneau,5412,0,25950,Directing
Joachim Rønning,5413,0,20307,Directing
Tony Kaye,5414,0,814,Directing
Ken Scott,5415,0,1375201,Directing
Hugh Johnson,5416,0,22100,Directing
Hayao Miyazaki,5417,0,608,Directing
"George Tillman, Jr.",5418,0,66121,Directing
Rand Ravich,5419,0,29524,Directing
Hugh Hudson,5420,0,58220,Directing
Ben Stassen,5421,0,76100,Directing
Chris Gorak,5422,0,10855,Directing
Scott Speer,5423,0,932088,Directing
Joe Charbanic,5424,0,66604,Directing
Jonathan Hensleigh,5425,0,876,Directing
Danny Cannon,5426,0,33279,Directing
Boaz Yakin,5427,0,52358,Directing
Richard Marquand,5428,0,19800,Directing
Neil Marshall,5429,0,57581,Directing
David Wain,5430,0,22214,Directing
Jared Hess,5431,0,53925,Directing
Rupert Wainwright,5432,0,11809,Directing
John Luessenhop,5433,0,97026,Directing
Justin Zackham,5434,0,52599,Directing
John Gatins,5435,0,53176,Directing
Miguel Sapochnik,5436,0,114404,Directing
Shim Hyung-Rae,5437,0,64331,Directing
Don Scardino,5438,0,93419,Directing
Tim Robbins,5439,0,504,Directing
Tom Reeve,5440,0,43673,Directing
Nanette Burstein,5441,1,96439,Directing
Ariel Vromen,5442,0,81476,Directing
